Genus,Species,RecruitCount
Acropora,hyacinthus,317
Acropora,digitifera,217.6923077
Acropora,hyacinthus,111.0778443
Acropora,tenuis,52.55
Acropora,hyacinthus,103.33
Acropora,selago,52.59
Acropora,nasuta,259.11
Acropora,loripes,22.7
Acropora,nasuta,123.23
Acropora,intermedia,100.8
Acropora,nasuta,112.8
