,,,,,,,No. of recruits,,
Year,Period,Sector,Reef,ReefID,Site,Panel,Spawn,Brood,Total
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,8,1,0,1
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,9,0,0,0
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,10,0,0,0
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,11,0,0,0
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,12,0,0,0
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,13,0,0,0
2017,Post-2016,2,TurtleSouth,14-120,TS_Crest,14,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,1,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,2,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,3,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,4,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,5,0,0,0
2017,Post-2016,2,Lizard,14-116,cooks look,6,0,0,0
2017,Post-2016,2,Lizard,14-116,corner beach,1,0,0,0
2017,Post-2016,2,Lizard,14-116,corner beach,2,0,0,0
2017,Post-2016,2,Lizard,14-116,corner beach,3,0,0,0
2017,Post-2016,2,Lizard,14-116,corner beach,4,0,0,0
2017,Post-2016,2,Lizard,14-116,corner beach,5,2,0,2
2017,Post-2016,2,Lizard,14-116,corner beach,6,0,0,0
2017,Post-2016,2,Lizard,14-116,easter point,1,0,0,0
2017,Post-2016,2,Lizard,14-116,easter point,2,2,0,2
2017,Post-2016,2,Lizard,14-116,easter point,3,0,0,0
2017,Post-2016,2,Lizard,14-116,easter point,4,1,0,1
2017,Post-2016,2,Lizard,14-116,easter point,5,0,0,0
2017,Post-2016,2,Lizard,14-116,easter point,6,3,0,3
2017,Post-2016,2,Lizard,14-116,gnarly tree,1,2,0,2
2017,Post-2016,2,Lizard,14-116,gnarly tree,2,0,0,0
2017,Post-2016,2,Lizard,14-116,gnarly tree,3,0,0,0
2017,Post-2016,2,Lizard,14-116,gnarly tree,4,0,0,0
2017,Post-2016,2,Lizard,14-116,gnarly tree,5,0,0,0
2017,Post-2016,2,Lizard,14-116,gnarly tree,6,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,1,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,2,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,3,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,4,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,5,0,0,0
2017,Post-2016,2,Lizard,14-116d,horseshoe,6,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,1,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,2,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,3,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,4,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,5,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 1,6,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 2,1,1,0,1
2017,Post-2016,2,Lizard,14-116d,lagoon 2,2,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 2,3,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 2,4,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 2,5,0,0,0
2017,Post-2016,2,Lizard,14-116d,lagoon 2,6,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,1,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,2,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,3,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,4,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,5,0,0,0
2017,Post-2016,2,Lizard,14-116c,lizard head,6,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,1,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,2,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,3,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,4,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,5,0,0,0
2017,Post-2016,2,Lizard,14-116north,no mans land,6,0,0,0
2017,Post-2016,2,Lizard,14-116north,north of paradise,1,0,0,0
2017,Post-2016,2,Lizard,14-116north,north of paradise,2,0,0,0
2017,Post-2016,2,Lizard,14-116north,north of paradise,3,3,0,3
2017,Post-2016,2,Lizard,14-116north,north of paradise,4,0,0,0
2017,Post-2016,2,Lizard,14-116north,north of paradise,5,0,0,0
2017,Post-2016,2,Lizard,14-116north,north of paradise,6,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 1,1,1,0,1
2017,Post-2016,2,Lizard,14-116north,north reef 1,2,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 1,3,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 1,4,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 1,5,1,1,2
2017,Post-2016,2,Lizard,14-116north,north reef 1,6,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 2,1,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 2,2,5,0,5
2017,Post-2016,2,Lizard,14-116north,north reef 2,3,1,0,1
2017,Post-2016,2,Lizard,14-116north,north reef 2,4,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 2,5,2,0,2
2017,Post-2016,2,Lizard,14-116north,north reef 2,6,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 3,1,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 3,2,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 3,3,1,0,1
2017,Post-2016,2,Lizard,14-116north,north reef 3,4,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 3,5,0,0,0
2017,Post-2016,2,Lizard,14-116north,north reef 3,6,1,0,1
2017,Post-2016,2,Lizard,14-116osprey,osprey,1,0,0,0
2017,Post-2016,2,Lizard,14-116osprey,osprey,2,0,0,0
2017,Post-2016,2,Lizard,14-116osprey,osprey,3,0,0,0
2017,Post-2016,2,Lizard,14-116osprey,osprey,4,0,0,0
2017,Post-2016,2,Lizard,14-116osprey,osprey,5,0,0,0
2017,Post-2016,2,Lizard,14-116osprey,osprey,6,0,0,0
2017,Post-2016,2,Lizard,14-116resort,resort,1,0,0,0
2017,Post-2016,2,Lizard,14-116resort,resort,2,0,0,0
2017,Post-2016,2,Lizard,14-116resort,resort,3,0,0,0
2017,Post-2016,2,Lizard,14-116resort,resort,4,0,0,0
2017,Post-2016,2,Lizard,14-116resort,resort,5,2,0,2
2017,Post-2016,2,Lizard,14-116resort,resort,6,4,1,5
2017,Post-2016,2,Lizard,14-116d,south island,1,1,0,1
2017,Post-2016,2,Lizard,14-116d,south island,2,1,0,1
2017,Post-2016,2,Lizard,14-116d,south island,3,1,0,1
2017,Post-2016,2,Lizard,14-116d,south island,4,2,0,2
2017,Post-2016,2,Lizard,14-116d,south island,5,0,0,0
2017,Post-2016,2,Lizard,14-116d,south island,6,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,1,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,2,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,3,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,4,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,5,0,0,0
2017,Post-2016,2,Lizard,14-116d,southeast,6,1,0,1
2017,Post-2016,2,Lizard,14-116,trimodal,1,0,0,0
2017,Post-2016,2,Lizard,14-116,trimodal,2,0,0,0
2017,Post-2016,2,Lizard,14-116,trimodal,3,0,0,0
2017,Post-2016,2,Lizard,14-116,trimodal,4,0,0,0
2017,Post-2016,2,Lizard,14-116,trimodal,5,0,0,0
2017,Post-2016,2,Lizard,14-116,trimodal,6,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,1,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,2,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,3,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,4,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,5,0,0,0
2017,Post-2016,2,Lizard,14-116a,turtle beach,6,2,0,2
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,1,0,0,0
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,2,0,0,0
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,3,1,0,1
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,4,3,1,4
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,5,1,0,1
2017,Post-2016,2,Lizard,14-116d,vickies/lagoon?,6,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,1,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,2,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,3,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,4,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,5,0,0,0
2017,Post-2016,2,Lizard,14-116a,washing machine,6,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,1,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,2,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,3,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,4,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,5,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,6,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,7,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,8,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,9,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,10,2,0,2
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,11,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,12,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,13,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,14,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Back,15,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,1,4,0,4
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,2,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,3,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,4,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,5,3,0,3
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,6,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,7,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,8,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,9,7,0,7
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,10,4,0,4
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,11,2,0,2
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,12,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,13,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,14,5,0,5
2018,Post-2016,2,TurtleNorth,14-119,TN_coral,15,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,1,5,0,5
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,2,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,3,2,0,2
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,4,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,5,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,6,3,0,3
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,7,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,8,5,0,5
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,9,4,0,4
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,10,1,0,1
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,11,0,0,0
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,12,6,0,6
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,13,2,0,2
2018,Post-2016,2,TurtleNorth,14-119,TN_Crest,14,4,0,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,1,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,2,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,3,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,4,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,5,2,0,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,6,2,0,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,7,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,8,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,9,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,10,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,11,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,12,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,13,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,14,3,0,3
2018,Post-2016,2,TurtleSouth,14-120,TS_Back,15,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,1,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,2,2,0,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,3,1,1,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,4,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,5,3,1,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,6,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,7,2,0,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,8,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,9,3,1,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,10,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,11,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,12,2,1,3
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,13,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,14,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Channel,15,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,1,4,0,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,2,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,3,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,4,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,5,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,6,4,0,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,7,1,0,1
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,8,7,0,7
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,9,0,0,0
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,10,4,0,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,11,2,0,2
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,12,3,0,3
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,13,4,0,4
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,14,3,0,3
2018,Post-2016,2,TurtleSouth,14-120,TS_Crest,15,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,1,4,0,4
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,2,2,0,2
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,3,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,4,2,22,24
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,5,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,6,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,7,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,8,3,1,4
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,9,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_1_1m,10,2,1,3
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,1,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,2,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,3,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,4,3,0,3
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,5,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,6,3,0,3
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,7,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,8,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_2_1m,9,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,1,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,2,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,4,6,0,6
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,5,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,6,3,0,3
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,7,2,0,2
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,8,1,0,1
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,9,1,16,17
2018,Post-2016,1,Dugong,10-576,Dugong_3_1m,10,2,0,2
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,1,2,21,23
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,2,2,0,2
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,3,0,16,16
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,4,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,5,4,0,4
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,6,1,14,15
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,7,1,1,2
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,8,2,0,2
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,9,0,0,0
2018,Post-2016,1,Dugong,10-576,Dugong_4_1m,10,1,0,1
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,1,2,0,2
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,2,4,0,4
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,3,1,0,1
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,4,4,0,4
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,5,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,7,5,0,5
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,8,1,0,1
2018,Post-2016,1,Bayag,10-582a,Bayag_1_1m,10,2,1,3
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,1,6,1,7
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,2,3,1,4
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,3,8,0,8
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,4,2,0,2
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,5,11,0,11
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,6,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,7,2,0,2
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,8,4,9,13
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,9,4,0,4
2018,Post-2016,1,Bayag,10-582a,Bayag_2_1m,10,3,0,3
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,1,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,2,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,3,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,4,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,5,1,0,1
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,6,2,0,2
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,7,1,0,1
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,9,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_3_1m,10,0,0,0
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,1,8,0,8
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,2,10,0,10
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,3,9,0,9
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,4,7,0,7
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,5,13,0,13
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,6,5,0,5
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,7,9,0,9
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,8,6,0,6
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,9,15,0,15
2018,Post-2016,1,Bayag,10-582a,Bayag_4_1m,10,13,2,15
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,1,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,4,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,5,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,6,13,0,13
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,7,5,2,7
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,8,3,0,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,9,5,0,5
2018,Post-2016,1,AuMasig,10-583,AuMasig_1_1m,10,9,0,9
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,1,9,0,9
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,2,8,0,8
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,3,14,0,14
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,4,9,0,9
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,5,13,0,13
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,6,17,0,17
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,7,7,0,7
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,8,10,0,10
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,9,8,0,8
2018,Post-2016,1,AuMasig,10-583,AuMasig_2_1m,10,9,0,9
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,2,5,0,5
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,3,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,4,2,0,2
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,5,9,0,9
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,6,1,21,22
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,7,0,0,0
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,8,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,9,4,0,4
2018,Post-2016,1,AuMasig,10-583,AuMasig_3_1m,10,3,0,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,1,3,0,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,2,2,1,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,3,4,20,24
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,4,1,0,1
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,5,2,0,2
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,6,6,0,6
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,7,2,0,2
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,8,3,0,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,9,3,0,3
2018,Post-2016,1,AuMasig,10-583,AuMasig_4_1m,10,3,0,3
2018,Post-2016,2,Mac,14-114,Mac_1_1m,1,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,2,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,3,0,14,14
2018,Post-2016,2,Mac,14-114,Mac_1_1m,4,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,5,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,6,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,7,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,8,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,9,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_1_1m,10,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_2_1m,1,1,14,15
2018,Post-2016,2,Mac,14-114,Mac_2_1m,2,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_2_1m,3,3,0,3
2018,Post-2016,2,Mac,14-114,Mac_2_1m,4,2,0,2
2018,Post-2016,2,Mac,14-114,Mac_2_1m,5,0,18,18
2018,Post-2016,2,Mac,14-114,Mac_2_1m,6,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_2_1m,8,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_2_1m,9,7,0,7
2018,Post-2016,2,Mac,14-114,Mac_2_1m,10,1,15,16
2018,Post-2016,2,Mac,14-114,Mac_3_1m,1,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_3_1m,2,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_3_1m,3,0,14,14
2018,Post-2016,2,Mac,14-114,Mac_3_1m,4,0,18,18
2018,Post-2016,2,Mac,14-114,Mac_3_1m,5,0,15,15
2018,Post-2016,2,Mac,14-114,Mac_3_1m,6,1,14,15
2018,Post-2016,2,Mac,14-114,Mac_3_1m,7,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_3_1m,8,0,15,15
2018,Post-2016,2,Mac,14-114,Mac_3_1m,9,1,2,3
2018,Post-2016,2,Mac,14-114,Mac_3_1m,10,2,0,2
2018,Post-2016,2,Mac,14-114,Mac_4_1m,1,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_4_1m,2,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_4_1m,3,1,0,1
2018,Post-2016,2,Mac,14-114,Mac_4_1m,4,0,1,1
2018,Post-2016,2,Mac,14-114,Mac_4_1m,5,2,0,2
2018,Post-2016,2,Mac,14-114,Mac_4_1m,7,2,0,2
2018,Post-2016,2,Mac,14-114,Mac_4_1m,8,1,0,1
2018,Post-2016,2,Mac,14-114,Mac_4_1m,9,0,0,0
2018,Post-2016,2,Mac,14-114,Mac_4_1m,10,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,1,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,2,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,3,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,4,1,0,1
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,5,2,0,2
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,6,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,7,0,0,0
